name,slug,genre,image_url,description,social_links,
Feeder,feeder,,,,,
Garbage,garbage,,,,,
Dinosaur Jr,dinosaur-jr,,,,,
Megadeth,megadeth,,,,,
Biffy Clyro,biffy-clyro,,,,,
The Others,the-others,,,,,
JJ72,jj72,,,,,
Idiot Pilot,idiot-pilot,,,,,
Wednesday 13,wednesday-13,,,,,
Queen Adreena,queen-adreena,,,,,
Billy Idol,billy-idol,,,,,
The Used,the-used,,,,,
My Chemical Romance,my-chemical-romance,,,,,
InMe,inme,,,,,
The Bled,the-bled,,,,,
Apocalyptica,apocalyptica,,,,,
Underøath,underøath,,,,,
Lordi,lordi,,,,,
Fozzy,fozzy,,,,,
Flogging Molly,flogging-molly,,,,,
Napalm Death,napalm-death,,,,,
Raging Speedhorn,raging-speedhorn,,,,,
Paradise Lost,paradise-lost,,,,,
A Change of Pace,a-change-of-pace,,,,,
Hurricane Party,hurricane-party,,,,,
Tokyo Dragons,tokyo-dragons,,,,,
Colour of Fire,colour-of-fire,,,,,
Slunt,slunt,,,,,
Just a Word,just-a-word,,,,,
Crashdïet,crashdïet,,,,,
Planet of Women,planet-of-women,,,,,
Tat,tat,,,,,
Ellis,ellis,,,,,
The Mascara Story,the-mascara-story,,,,,
Black Sabbath,black-sabbath,,,,,
Velvet Revolver,velvet-revolver,,,,,
HIM,him,,,,,
Anthrax,anthrax,,,,,
Alter Bridge,alter-bridge,,,,,
Bowling for Soup,bowling-for-soup,,,,,
A,a,,,,,
The Mad Capsule Markets,the-mad-capsule-markets,,,,,
The Dwarves,the-dwarves,,,,,
Trivium,trivium,,,,,
In Flames,in-flames,,,,,
Chimaira,chimaira,,,,,
Lamb of God,lamb-of-god,,,,,
Bullet for My Valentine,bullet-for-my-valentine,,,,,
Meshuggah,meshuggah,,,,,
Unearth,unearth,,,,,
Every Time I Die,every-time-i-die,,,,,
Open Hand,open-hand,,,,,
American Head Charge,american-head-charge,,,,,
The Hurt Process,the-hurt-process,,,,,
Hondo Maclean,hondo-maclean,,,,,
Three Children Of Fortune,three-children-of-fortune,,,,,
Helmet,helmet,,,,,
The Lucky Nine,the-lucky-nine,,,,,
Breed 77,breed-77,,,,,
The Explosion,the-explosion,,,,,
Towers of London,towers-of-london,,,,,
Johnny Truant,johnny-truant,,,,,
The Ga Ga's,the-ga-ga's,,,,,
The Answer,the-answer,,,,,
Panic Cell,panic-cell,,,,,
Crucified Barbara,crucified-barbara,,,,,
Diamond Nights,diamond-nights,,,,,
Quit Your Dayjob,quit-your-dayjob,,,,,
City on Fire,city-on-fire,,,,,
S.A. Sanctuary,s.a.-sanctuary,,,,,
Reuben,reuben,,,,,
Days Of Worth,days-of-worth,,,,,
Fastlane,fastlane,,,,,
System of a Down,system-of-a-down,,,,,
Slipknot,slipknot,,,,,
Slayer,slayer,,,,,
Nightwish,nightwish,,,,,
Killswitch Engage,killswitch-engage,,,,,
Papa Roach,papa-roach,,,,,
Mudvayne,mudvayne,,,,,
Society 1,society-1,,,,,
DV8,dv8,,,,,
Motörhead,motörhead,,,,,
DKT/MC5,dkt/mc5,,,,,
Funeral for a Friend,funeral-for-a-friend,,,,,
Lacuna Coil,lacuna-coil,,,,,
Mastodon,mastodon,,,,,
Shadows Fall,shadows-fall,,,,,
Caliban,caliban,,,,,
As I Lay Dying,as-i-lay-dying,,,,,
Gizmachi,gizmachi,,,,,
Send More Paramedics,send-more-paramedics,,,,,
Therapy?,therapy?,,,,,
Team Sleep,team-sleep,,,,,
Eighties Matchbox B-Line Disaster,eighties-matchbox-b-line-disaster,,,,,
The Dresden Dolls,the-dresden-dolls,,,,,
The Glitterati,the-glitterati,,,,,
The Saints,the-saints,,,,,
Engerica,engerica,,,,,
3 Inches of Blood,3-inches-of-blood,,,,,
Still Remains,still-remains,,,,,
No Hope in New Jersey,no-hope-in-new-jersey,,,,,
Acidtone,acidtone,,,,,
Henry Rollins,henry-rollins,,,,,
Electric Eel Shock,electric-eel-shock,,,,,
The Suffrajets,the-suffrajets,,,,,
Johnny Panic,johnny-panic,,,,,
Tool,tool,,,,,
Deftones,deftones,,,,,
Coheed and Cambria,coheed-and-cambria,,,,,
Soulfly,soulfly,,,,,
Strapping Young Lad,strapping-young-lad,,,,,
SOiL,soil,,,,,
Wicked Wisdom,wicked-wisdom,,,,,
Amplifier,amplifier,,,,,
The All-American Rejects,the-all-american-rejects,,,,,
Atreyu,atreyu,,,,,
Clutch,clutch,,,,,
Fishbone,fishbone,,,,,
Dredg,dredg,,,,,
Bleeding Through,bleeding-through,,,,,
Gojira,gojira,,,,,
Throwdown,throwdown,,,,,
Suns of the Tundra,suns-of-the-tundra,,,,,
Ginger & the Sonic Circus,ginger-&-the-sonic-circus,,,,,
Backyard Babies,backyard-babies,,,,,
Cathedral,cathedral,,,,,
Bullets & Octane,bullets-&-octane,,,,,
My Awesome Compilation,my-awesome-compilation,,,,,
Animal Alpha,animal-alpha,,,,,
The Audition,the-audition,,,,,
Art of Dying,art-of-dying,,,,,
Enter Shikari,enter-shikari,,,,,
Kitty Hudson,kitty-hudson,,,,,
Gay for Johnny Depp,gay-for-johnny-depp,,,,,
Keiko,keiko,,,,,
SinTuition,sintuition,,,,,
Metallica,metallica,,,,,
Korn,korn,,,,,
Avenged Sevenfold,avenged-sevenfold,,,,,
Stone Sour,stone-sour,,,,,
Alice in Chains,alice-in-chains,,,,,
Arch Enemy,arch-enemy,,,,,
Bloodsimple,bloodsimple,,,,,
